Known Traits,Set,Theme,2 pieces,3 pieces,4 pieces,5 pieces
9,Aetherial Ascension,Tank,Adds 1487 Armor,Adds 1206 Max Health,Adds 1487 Armor,"Adds 7377 Armor. Increases the cost of Block, Sprint, Dodge, and Break Free by 25%."
6,Legacy of Karth,Stamina DPS,Adds 833 Critical Chance,"Adds 129 Weapon Damage
Adds 129 Spell Damage",Adds 1487 Penetration,Enemies affected by your Alchemic Poisons take 1973 Disease Damage every 1 second.
3,Red Eagle's Fury,DPS,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 833 Critical Chance,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 469 Weapon & Spell Power to your Weapon abilities. Increases the cost of non-Weapon abilities by 5%.
3,Adept Rider,utility,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,While mounted gain Major Evasion. Dismounting spawns a dust cloud at your position for 12 seconds that deals 1938 Physical Damage every 1 second to enemies standing within. You & group members inside the dust cloud gain Major Evasion. The dust cloud can spawn once every 12 seconds.
5,Alessia's Bulwark,Tank,Adds 1487 Armor,Adds 1206 Max Health,Adds 1487 Armor,Being damaged by a melee attack has a 15% chance to reduce the attacker's Weapon Damage by 300 for 5 seconds
6,Ancient Dragonguard,balance,Adds 1206 Max Health,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 833 Weapon Critical;Adds 833 Spell Critical,Adds 300 Weapon & Spell Damage while your Health is above 50%. Adds 3460 Armor while your Health is at or below 50%.
9,Armor Master,Tank,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,Increase Max Health by 5% while an Armor ability is slotted and gain 5940 Armor for 10 seconds upon using an Armor ability
2,Ashen Grip,Stamina,Adds 1206 Max Health,Adds 129 Weapon Damage,Adds 833 Weapon Critical,"When you deal melee damage, breathe fire upon all enemies in front of you for 7597 Flame Damage. This can occur once every 4 seconds."
3,Assassin's Guile,DPS,Adds 833 Weapon Critical;Adds 833 Spell Critical,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 833 Weapon Critical;Adds 833 Spell Critical,Increases the duration of your alchemical poisons by 4 seconds
7,Clever Alchemist,balance,Adds 1206 Max Health,Adds 1206 Max Health,Adds 129 Weapon Damage;Adds 129 Spell Damage,"When you drink a potiion during combat you feel a rush of energy, increasing your Weapon & Spell Damage by 675 for 20 seconds."
8,Coldharbour's Favorite,Healer or DPS,Adds 1096 Max Magicka,Adds 1096 Max Stamina,Adds 129 Weapon Damage;Adds 129 Spell Damage,"When you heal yourself or group member, summon Cadwell's noble mount, Honor, who after 2 seconds casts a healing spell on you and group members near hime for 16254 Health over 6 seconds. When you damage an enemy, summon Cadwell's noble mount, Honor, who after 2 seconds explodes to deal 22099 Magic Damage over 6 seconds. Honor can be summoned once every 10 seconds."
3,Critical Riposte,Tank,Adds 424 Critical Resistance,Adds 1206 Max Health,Adds 424 Critical Resistance,"When you take critical damage, apply Minor Uncertainty & Minor Enervation to the enemy for 9 seconds, reducing their Physical & Spell Critical by 1314 and reducing their Critical Damage by 10%. (cooldown: 10 seconds)"
8,Daedric Trickery,balance,Adds 1206 Max Health,Adds 1096 Max Stamina,Adds 1096 Max Magicka,"When you deal damage you gain one of 5 random Major Buffs for 21 seconds every 9 seconds. Eligible buffs are Expedition, Protection, Mending, Heroism, or Vitality."
3,Daring Corsair,balance,Adds 129 Stamina Recovery,Adds 129 Magicka Recovery,Adds 833 Weapon Critical;Adds 833 Spell Critical,"Reduce the Magicka or Stamina cost of your Weapon abilities by 10%. After casting a Weapon ability gain Minor Heroism for 8 seconds, generating 1 Ultimate every 1.5 seconds while in combat. This can occur once every 8 seconds."
3,Dauntless Combatant,Tank,Adds 1096 Max Stamina,Adds 1206 Max Health,Adds 1096 Max Magicka,"Adds 1206 Max Health. Also, when you are affected by a disabling effect you automatically Break Free at no cost. (cooldown: 21 seconds)"
7,Dragon's Appetite Set,Stamina DPS,Adds 129 Weapon Damage,Adds 129 Stamina Recovery,Adds 129 Stamina Recovery,"Increases your damage done to Bleeding enemies by 217-225. Dealing non-Bleed damage to Bleeding enemies generates a persistent stack of Dragon's Appetite, up to once per second. After 10 stacks, you consume the stacks to heal for 6191-6415 Health."
2,Death's Wind,Tank,Adds 1487 Armor,Adds 1206 Max Health,Adds 1206 Max Health,"When you take melee damage while under 35% Health, you knockback & stun all enemies within 8 meters of you for 4 seconds. (cooldown: 15 seconds)"
9,Eternal Hunt,Stamina DPS,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,Adds 129 Stamina Recovery,"When you Roll Dodge, you leave behind a rune that detonates when enemies approach, dealing 7335 Poison Damage and immobilizing them for 1.5 seconds"
8,Eyes of Mara,Healer,Adds 129 Magicka Recovery,Adds 1096 Max Magicka,Adds 129 Spell Damage,Reduces the cost of your Restoration Staff abilities by 15%
4,Fortified Brass,Tank,Adds 1206 Max Health,Adds 1487 Armor,Adds 1487 Armor,Adds 5170 Armor
7,Grave Stake Collector,balance,Adds 1096 Max Magicka,Adds 1096 Max Stamina,Adds 1206 Max Health,Enemies you damage drop a grave-stake for 6.1 seconds after they die. When you touch the stake you restore 4190 Stamina & Magicka. Only one grave-stake can appear at a time.
4,Hist Bark,Tank,Adds 1487 Armor,Adds 129 Health Recovery,Adds 1206 Max Health,Gain Major Evasion when Blocking
6,Hunding's Rage,Stamina DPS,Adds 833 Weapon Critical,Adds 1096 Max Stamina,Adds 833 Weapon Critical,Adds 299 Weapon Damage
2,Innate Axiom,DPS,Adds 129 Weapon Damage;Adds 129 Spell Damage,Adds 1096 Max Stamina;Adds 1096 Max Magicka,Adds 833 Weapon Critical;Adds 833 Spell Critical,Adds 400 Weapon & Spell Damage to Class abilities
8,Kagrenac's Hope,Healer,Adds 1096 Max Magicka,Adds 129 Magicka Recovery,Adds 1206 Max Health,Adds 222 Spell Damage. Decreases the time it takes to resurrect an ally by 25% and restore 1720 Magicka whenever you do so
