Set,,2 pieces,3 pieces,4 pieces,5 pieces,Location,Binding,Style
Aegis of Galanwe,,Adds 1206 Max Health,Gain Minor Aegis (reducing damage taken from Dungeon & Trial Monsters by 5%) at all times,Adds 4% Healing Taken,"After successfully blocking, grant Empower to 11 allies within 15 meters. Empower increases the damage of their next Light Attack by 40%. (cooldown: 2 seconds)",Cloudrest,Pickup,Welkynar
(since Greymoor),,,,,,,,
Affliction,,Adds 129 Weapon Damage,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,"When you deal damage, have 50% chance to deal an additional 1830 Disease Damage and afflict your target with Minor Defile (reducing healiing taken by 15%) for 4 seconds (up to once every 4 seconds)",Cyrodiil,Equip,
(since Elsweyr),,,,,,,,
Akaviri Dragonguard,,Adds 129 Magicka Recovery,Adds 4% Healing Taken,Adds 1206 Max Health,Reduces the cost of Ultimate abilities by 15%,Eastmarch,Equip,
Alessian Order,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,Increases your Health Recovery by 1% of your sum total Physical & Spell Resistance.,Cyrodiil,Equip,
Ancient Dragonguard,,Adds 1206 Max Health,Adds 129 Weapon Damage. Adds 129 Spell Damage.,Adds 833 Critical Chance.,Adds 300 Weapon Damage and Spell Damage while Health is above 50%. Adds 3460 Armor while your Health is 50% or less.,Southern Elsweyr,Equip,
Arkasis's Genius,,Adds 1206 Max Health,Adds 1487 Armor,Adds 1206 Max Health,"Whenever you drink a potion, you and 3 group memebers gain 44 Ultimate. This effect can occur once every 30 seconds.",Stone Garden,Pickup,
Armor of the Trainee,,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 1096 Max Stamina,"Increases your Max Health, Max Magicka, and Max Stamina by 1250",Starter Areas,Equip,
Armor of Truth,,Adds 823 Weapon Critical,Adds 1096 Max Stamina,Adds 129 Weapon Damage,"When you set an enemy Off-Balance, your Weapon Damage is increased by 450? for 10 seconds",Darkshade Caverns,Pickup,
Armor of the Veiled Heritance,,Adds 129 Weapon Damage,Adds 1487 Armor,Adds 823 Weapon Critical,"When you interrupt an enemy, gain 400 Weapon Damage for 15 seconds.",Auridon,Equip,
