Set,,2 pieces,3 pieces,4 pieces,5 pieces,Location,Binding,Style
Aegis Caller,,Adds 129 Weapon Damage,Adds 129 Stamina Recovery,Adds 129 Weapon Damage,"When you deal Critical Damage with a Melee ability, summon a Lesser Aegis for 11 seconds. After 2.5 seconds, the Lesser Aegis spins its blades, dealing 3730 Bleed Damage every 1 second.",Unhallowed Grave,Pickup,
,,,,,Cooldown: 12 seconds.,,,
Alessian Order,,Adds 1487 Armor,Adds 1487 Armor,Adds 1206 Max Health,Increases your Health Recovery by 1% of your sum total Physical & Spell Resistance.,Cyrodiil,Equip,
Armor of the Trainee,,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 1096 Max Stamina,"Increases your Max Health, Max Magicka, and Max Stamina by 1250",Starter Areas,Equip,
Arms of Relequen,,Adds 833 Weapon Critical,Gain Minor Slayer (increasing damage done to Dungeon & Trial Monsters by 5%) at all times,Adds 833 Weapon Critical,"Adds 1096 Max Stamina (removed before launch? undocumented in patch notes). Once per second Light & Heavy Attacks apply a stack of Harmful Winds to your target for 5 seconds. Harmful winds deal 200 Physical Damage every 1 second, stacking up to 20 times.",Cloudrest,Pickup,Welkynar
Archer's Mind,,Adds 1096 Max Stamina,Adds 833 Weapon Critical,Adds 833 Weapon Critical,Increases your Critical Damage done by 5%. Increases your Critical Damage done by an additional 10% when attacking from Sneak or invisibility. (does not affect Healing),Dragonstar Arena,Pickup,
Azureblight Reaper,,Adds 833 Weapon Critical,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,"When you deal damage with a Damage Over Time effect, you apply a stack of Blight Seed to your target for 5 seconds. At 20 stacks, the Blight Seeds explode, dealing 11100 Disease Damage to the target and nearby enemies. An enemy that has reached 20 stacks cannot be infected with Blight Seed for 2 seconds.",Lair of Maarselok,Pickup,
Bahara's Curse,,Adds 1206 Max Health,Adds 1096 Max Magicka,Adds 1096 Max Stamina and Reduce Damage from Environmental Traps by 40%,Dealing Damage has 25% chance to create Desecrated Ground for 5 seconds which reduces enemy movement speed 70% while damaging them and healing you for 860 Magic Damage every 1 second,Hew's Bane,Equip,
Barkskin,,Adds 1206 Max Health,Adds 129 Stamina Recovery,Adds 1487 Armor,"Reduces the duration of immobilizations and snares applied to you by 50%. When an immobilization or snare is applied to you, heal for 2000? Health and restore 1000? Stamina. (up to once every 5 seconds)",Elden Hollow,Pickup,
Battlefield Acrobat,,Adds 129 Stamina Recovery,Adds 129 Stamina Recovery,Adds 1096 Max Stamina,Reduces the cost of all your abilities by 6%.,Cyrodiil,,
Blood Moon,,Adds 129 Weapon Damage,Adds 833 Weapon Critical,Adds 833 Weapon Critical,"When you deal Critical Damage with a melee Light Attack, you gain a stack of Blood Scent for 8 seconds. When you gain 5 stacks, you become Frenzied for 5 seconds, increasing your melee Light Attack damage by 30% 50% and attack speed by 50%. This effect can occur every 18 seconds.",Wolfhunter,,
Blooddrinker,,Adds 833 Weapon Critical,Adds 129 Weapon Damage,Adds 833 Weapon Critical,Increases the damage you deal with bleeding damage over time effects by 20%.,Bloodroot Forge,Pickup,
Bone Pirate's Tatters,,Adds 1096 Max Stamina,Adds 129 Stamina Recovery,Adds 1096 Max Stamina,"While you have a drink buff active, Max Stamina is increased by 2000 and Stamina Recovery by 150",Blackheart Haven,Pickup,
Briarheart,,Adds 833 Weapon Critical,Adds 1096 Max Stamina,Adds 833 Weapon Critical,"When you deal Critical Damage, have a 10% chance to increase Weapon Damage by 449 for 10 seconds. While this effect is active, your Critical Strikes heal you for 609 Health (up to once every 15 seconds)",Wrothgar,Equip,
